feature_name,source,native_resolution,aggregation,lag_applied,range,known_issues
v2x_libdem,V-Dem v15,Annual,Repeat to monthly (not interpolated),t-1,[0 1],Stale within year; ~12% country coverage gap
v2x_polyarchy,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Stale within year
v2x_civlib,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Stale within year
v2x_rule,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Stale within year
v2x_corr,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Higher = more corrupt
v2x_clphy,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Physical integrity; stale within year
v2x_clpol,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Stale within year
v2x_freexp_altinf,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Stale within year
v2xcs_ccsi,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Stale within year
v2x_partipdem,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Stale within year
v2xnp_regcorr,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Higher = more corrupt
v2x_execorr,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Higher = more corrupt
v2x_frassoc_thick,V-Dem v15,Annual,Repeat to monthly,t-1,[0 1],Stale within year
regime_type_0,V-Dem v15 (derived),Annual,One-hot from v2x_regime,t-1,{0 1},Closed autocracy indicator
regime_type_1,V-Dem v15 (derived),Annual,One-hot from v2x_regime,t-1,{0 1},Electoral autocracy indicator
regime_type_2,V-Dem v15 (derived),Annual,One-hot from v2x_regime,t-1,{0 1},Electoral democracy indicator
regime_type_3,V-Dem v15 (derived),Annual,One-hot from v2x_regime,t-1,{0 1},Liberal democracy indicator
governance_deficit,V-Dem (derived),Annual,1 - mean(libdem polyarchy rule),t-1,[0 1],Composite of 3 indices; higher = weaker institutions
repression_index,V-Dem (derived),Annual,(mean(corr execorr) + (1-clphy)) / 2,t-1,~[0 1],Composite; higher = more repressive
libdem_yoy_change,V-Dem (derived),Annual,12-month diff of v2x_libdem,t-1,~[-0.3 0.3],Only changes at year boundaries; flags backsliding
vdem_stale_flag,V-Dem × REIGN (cross-validated),Monthly,Binary: mid-year structural break detected after V-Dem coding,t-1,{0 1},Marks months where V-Dem annual score is outdated due to coup/regime change
tenure_months,REIGN,Monthly,Direct; extrapolated +1/month post-2021-08,t-1,[0 inf),Missing after Aug 2021; extrapolated under same-leader assumption
age,REIGN,Monthly,Direct; extrapolated +1/12 per month post-2021-08,t-1,[20 100],Missing after Aug 2021; extrapolated under same-leader assumption
male,REIGN,Monthly,Direct (binary); forward-filled post-2021-08,t-1,{0 1},Assumed unchanged after REIGN cutoff
militarycareer,REIGN,Monthly,Direct (binary); forward-filled post-2021-08,t-1,{0 1},Assumed unchanged after REIGN cutoff
elected,REIGN,Monthly,Direct (binary); forward-filled post-2021-08,t-1,{0 1},Assumed unchanged after REIGN cutoff
prev_conflict,REIGN,Monthly,Direct (binary); forward-filled post-2021-08,t-1,{0 1},Historical conflict flag; assumed stable
precip,REIGN,Monthly,Direct (SPI); NaN post-2021-08,t-1,(-inf inf),Precipitation anomaly; missing after REIGN cutoff
leader_age_risk,REIGN (derived),Monthly,Binary: age<40 or age>75,t-1,{0 1},Empirical risk flag (Bueno de Mesquita et al. 2003)
months_since_election,REIGN (derived),Monthly,Days since lastelection / 30.44,t-1,[0 inf),NaN where election date unknown
regime_change,REIGN (derived),Monthly,Binary: government != prev month,t-1,{0 1},Structural break flag; NaN post-2021-08 for fast features
coup_event,REIGN (derived) + Powell & Thyne (post-2021),Monthly,Binary from irregular field; patched with P&T post-2021-08,t-1,{0 1},REIGN native pre-2021-08; Powell & Thyne fills post-cutoff NaN
months_since_structural_break,REIGN (derived),Monthly,Forward count from last regime_change or coup_event,t-1,[0 inf),Captures instability window effect (Cederman et al. 2010)
reign_ffill_reliable,REIGN (derived) + Powell & Thyne,Monthly,Binary: 0 if structural break within 6mo of cutoff or post-cutoff coup,t-1,{0 1},Tells model not to trust forward-filled REIGN values
reign_regime_*,REIGN (derived),Monthly,One-hot from government string (~14 categories),t-1,{0 1},Variable number of columns depending on regime types in data
pt_coup_event,Powell & Thyne (2011),Event → monthly,Binary: any coup attempt this month,t-1,{0 1},Supplements REIGN; covers 1950-present; updated within weeks of new events
pt_coup_successful,Powell & Thyne (2011),Event → monthly,Binary: successful coup this month (code=2),t-1,{0 1},Ground-truth coup outcomes
pt_coup_failed,Powell & Thyne (2011),Event → monthly,Binary: failed coup attempt this month (code=1),t-1,{0 1},Failed attempts still signal instability
pt_coup_count,Powell & Thyne (2011),Event → monthly,Count of coup attempts this month,t-1,[0 inf),Usually 0 or 1; rare multi-event months
pt_cumulative_coups,Powell & Thyne (derived),Monthly,Running sum of pt_coup_event per country since 2010,t-1,[0 inf),Captures coup-prone states
pt_months_since_coup,Powell & Thyne (derived),Monthly,Forward count from last pt_coup_event,t-1,[0 inf),Captures the coup trap (Powell 2012); NaN before first coup
fx_pct_change,IMF IFS,Monthly,MoM pct change in exchange rate,t-1,(-inf inf),Missing for dollarised economies; forward-filled up to 3 months
fx_volatility,IMF IFS (derived),Monthly,3-month rolling std of fx_pct_change (min_periods=2),t-1,[0 inf),Missing for dollarised economies; forward-filled up to 3 months
fx_volatility_log,IMF IFS (derived),Monthly,log1p(fx_volatility),t-1,[0 inf),Compresses right-skewed crisis spikes for transformer attention
fx_depreciation_flag,IMF IFS (derived),Monthly,Binary: fx_pct_change > country mean + 2*std,t-1,{0 1},Country-specific threshold; robust to heteroskedasticity
fx_pct_change_zscore,IMF IFS (derived),Monthly,Expanding within-country z-score of fx_pct_change (min_periods=6),t-1,(-inf inf),Makes 5% depreciation in Turkey distinguishable from 5% in Switzerland
gdp_growth,World Bank WDI,Annual,Repeat to monthly (not interpolated),t-1,(-inf inf),~2yr publication lag; forward-filled for delayed years
gdp_growth_deviation,World Bank (derived),Annual,Z-score vs 5yr rolling mean (min_periods=3 std clipped>=0.01),t-1,(-inf inf),Country-specific recession signal (Miguel et al. 2004)
gdp_negative_shock,World Bank (derived),Annual,Binary: gdp_growth_deviation < -1.0,t-1,{0 1},Strongest economic predictor of civil conflict onset
food_price_anomaly,FAO FAOSTAT,Monthly,Ratio: CPI / 12-month rolling mean (min_periods=6),t-1,[0 inf),~60% country coverage; >1 means above-trend prices
food_price_anomaly_log,FAO (derived),Monthly,log(food_price_anomaly) clipped lower=1e-6,t-1,(-inf inf),Compresses hyperinflation extremes; preserves sign
food_cpi_acceleration,FAO (derived),Monthly,MoM change in YoY CPI rate,t-1,(-inf inf),Captures whether food inflation is accelerating
food_price_spike,FAO (derived),Monthly,Binary: food_price_anomaly > 1.15,t-1,{0 1},Threshold from Bellemare (2015); protest onset linkage
vdem_available,Derived (missingness),Monthly,Binary: v2x_libdem not NaN,Not lagged,{0 1},Computed after lag; informative — failed states stop reporting
reign_available,Derived (missingness),Monthly,Binary: tenure_months not NaN,Not lagged,{0 1},Computed after lag; informative — data gaps correlate with instability
fx_available,Derived (missingness),Monthly,Binary: fx_volatility not NaN,Not lagged,{0 1},Computed after lag; informative — dollarised/failed states lack FX data
food_available,Derived (missingness),Monthly,Binary: food_price_anomaly not NaN,Not lagged,{0 1},Computed after lag; informative — poor coverage in conflict zones
gdp_available,Derived (missingness),Monthly,Binary: gdp_growth not NaN,Not lagged,{0 1},Computed after lag; informative — GDP reporting gaps in fragile states
