country_iso3,year_month,pt_coup_successful,pt_coup_failed,pt_coup_count,pt_coup_event
BDI,2015-05,0,1,1,1
BFA,2014-10,1,0,1,1
BFA,2015-09,0,1,1,1
BFA,2022-01,1,0,1,1
BFA,2022-09,1,0,1,1
BGD,2024-08,1,0,1,1
BOL,2024-06,0,1,1,1
EGY,2011-02,1,0,1,1
EGY,2013-07,1,0,1,1
GAB,2019-01,0,1,1,1
GAB,2023-08,1,0,1,1
GIN,2011-07,0,1,1,1
GIN,2021-09,1,0,1,1
GNB,2010-04,0,1,1,1
GNB,2012-04,1,0,1,1
GNB,2022-02,0,1,1,1
LSO,2014-08,0,1,1,1
MDG,2010-11,0,1,1,1
MDV,2012-02,1,0,1,1
MLI,2012-03,1,0,1,1
MLI,2012-05,0,1,1,1
MLI,2020-08,1,0,1,1
MLI,2021-05,1,0,1,1
MMR,2021-02,1,0,1,1
NER,2010-02,1,0,1,1
NER,2021-03,0,1,1,1
NER,2023-07,1,0,1,1
PNG,2012-01,0,1,1,1
SDN,2012-11,0,1,1,1
SDN,2019-04,1,0,1,1
SDN,2021-09,0,1,1,1
SDN,2021-10,1,0,1,1
SDN,2023-04,0,1,1,1
TCD,2021-04,1,0,1,1
THA,2014-05,1,0,1,1
TUR,2016-07,0,1,1,1
UKR,2014-02,1,0,1,1
ZWE,2017-11,1,0,1,1
