fips_code,iso_code
AF,AF
AL,AL
AG,DZ
AO,AO
AC,AG
AR,AR
AM,AM
AS,AU
AU,AT
AJ,AZ
BA,BH
BG,BD
BB,BB
BO,BY
BE,BE
BH,BZ
BN,BJ
BT,BT
BL,BO
BK,BA
BC,BW
BR,BR
BX,BN
BU,BG
UV,BF
BY,BI
CB,KH
CM,CM
CA,CA
CV,CV
CT,CF
CD,TD
CI,CL
CH,CN
CO,CO
CN,KM
CG,CD
CF,CG
CS,CR
IV,CI
HR,HR
CU,CU
CY,CY
EZ,CZ
DA,DK
DJ,DJ
DR,DO
EC,EC
EG,EG
ES,SV
EK,GQ
ER,ER
EN,EE
ET,ET
FJ,FJ
FI,FI
FR,FR
GB,GA
GA,GM
GG,GE
GM,DE
GH,GH
GR,GR
GT,GT
GV,GN
PU,GW
GY,GY
HA,HT
HO,HN
HU,HU
IC,IS
IN,IN
ID,ID
IR,IR
IZ,IQ
EI,IE
IS,IL
IT,IT
JM,JM
JA,JP
JO,JO
KZ,KZ
KE,KE
KN,KP
KS,KR
KU,KW
KG,KG
LA,LA
LG,LV
LE,LB
LT,LS
LI,LR
LY,LY
LH,LT
LU,LU
MK,MK
MA,MG
MI,MW
MY,MY
MV,MV
ML,ML
MT,MT
MR,MR
MP,MU
MX,MX
MD,MD
MG,MN
MJ,ME
MO,MA
MZ,MZ
BM,MM
WA,NA
NP,NP
NL,NL
NZ,NZ
NU,NI
NG,NE
NI,NG
NO,NO
MU,OM
PK,PK
PM,PA
PP,PG
PA,PY
PE,PE
RP,PH
PL,PL
PO,PT
QA,QA
RO,RO
RS,RU
RW,RW
SA,SA
SG,SN
RI,RS
SE,SC
SL,SL
SN,SG
LO,SK
SI,SI
BP,SB
SO,SO
SF,ZA
OD,SS
SP,ES
CE,LK
SU,SD
NS,SR
WZ,SZ
SW,SE
SZ,CH
SY,SY
TW,TW
TI,TJ
TZ,TZ
TH,TH
TT,TL
TO,TG
TD,TT
TS,TN
TU,TR
TX,TM
UG,UG
UP,UA
AE,AE
UK,GB
US,US
UY,UY
UZ,UZ
VE,VE
VM,VN
YM,YE
ZA,ZM
ZI,ZW
