epoch,train_loss,val_loss,lr
1,3.413485136142997,2.068506350119909,0.00017199999999999998
2,2.194340755773145,1.9448780119419098,0.00034399999999999996
3,2.135780940915263,1.8982204149166744,0.0004999951863080734
4,2.0938108528769295,1.7557083268960316,0.0004993357019288791
5,2.084594420222349,1.7604762067397435,0.0004975670171853926
6,2.0590628489505414,1.8074218382438023,0.000494697000288009
7,2.046318483907123,1.7156899223725002,0.0004907384188579053
8,2.0409061804760333,1.7495325009028118,0.00048570888312871583
9,2.021160581777262,1.737703114748001,0.00047963076760525414
10,2.016980774180834,1.724314461151759,0.00047253111152779237
11,1.9996551774268927,1.7370174129803975,0.0004644414985846934
12,1.992090338884398,1.7214757750431697,0.00045539791640851067
13,1.9663204065589017,1.7254394243160884,0.0004454405964806033
14,1.9569159517454546,1.732342133919398,0.00043461383515647103
15,1.9439099930053534,1.7254786094029744,0.00042296579660799894
16,1.9358127144880073,1.7028481091062229,0.00041054829855924894
17,1.9174077892026236,1.707957665125529,0.00039741658176897576
18,1.8958374171756034,1.7115563650925953,0.0003836290642853568
19,1.8894185084243154,1.7454200039307277,0.000369247081566159
20,1.8628817678884018,1.7467020998398464,0.0003543346136204545
21,1.851593645506127,1.7245077242453892,0.0003389580003857247
22,1.8417416769404744,1.7140983094771702,0.0003231856466065354
23,1.8183640747569327,1.7482767552137375,0.00030708771752766396
24,1.7928083310293597,1.7173592423399289,0.0002907358267554272
25,1.7724467252576075,1.7753742759426434,0.0002742027176757948
26,1.7615328063798505,1.733565129339695,0.0002575619398465402
